system:index,Z1,.geo
000000000000000002b8,-10.694685935974121,"{""type"":""Point"",""coordinates"":[-48.70723347150099,-25.41625173049403]}"
000000000000000002a0,-10.687067031860352,"{""type"":""Point"",""coordinates"":[-48.70733603082523,-25.41625173049403]}"
00000000000000000288,-10.682123184204102,"{""type"":""Point"",""coordinates"":[-48.70743413104841,-25.41625173049403]}"
00000000000000000257,-10.673222541809082,"{""type"":""Point"",""coordinates"":[-48.70773734992003,-25.41607782555294]}"
0000000000000000026d,-10.654546737670898,"{""type"":""Point"",""coordinates"":[-48.70763479059581,-25.416167007574007]}"
00000000000000000256,-10.650102615356445,"{""type"":""Point"",""coordinates"":[-48.70773734992003,-25.415988643531872]}"
0000000000000000023d,-10.634758949279785,"{""type"":""Point"",""coordinates"":[-48.70783545014321,-25.415988643531872]}"
000000000000000002d1,-10.616840362548828,"{""type"":""Point"",""coordinates"":[-48.707135371277815,-25.416247271392972]}"
000000000000000002a1,-10.568781852722168,"{""type"":""Point"",""coordinates"":[-48.70733157172416,-25.41634091251509]}"
00000000000000000289,-10.56733512878418,"{""type"":""Point"",""coordinates"":[-48.70743413104841,-25.416345371616142]}"
0000000000000000026f,-10.567103385925293,"{""type"":""Point"",""coordinates"":[-48.70763479059581,-25.41607782555294]}"
0000000000000000022e,-10.519428253173828,"{""type"":""Point"",""coordinates"":[-48.707839909244264,-25.4158994615108]}"
00000000000000000270,-10.507357597351074,"{""type"":""Point"",""coordinates"":[-48.707532231271564,-25.416256189595078]}"
00000000000000000216,-10.497672080993652,"{""type"":""Point"",""coordinates"":[-48.70793800946744,-25.4158994615108]}"
00000000000000000224,-10.493414878845215,"{""type"":""Point"",""coordinates"":[-48.70793800946744,-25.415993102632925]}"
000000000000000002b9,-10.479070663452148,"{""type"":""Point"",""coordinates"":[-48.707233471500984,-25.416340912515093]}"
00000000000000000247,-10.470987319946289,"{""type"":""Point"",""coordinates"":[-48.70773734992003,-25.4158994615108]}"
0000000000000000029f,-10.458746910095215,"{""type"":""Point"",""coordinates"":[-48.707429671947345,-25.41643455363722]}"
0000000000000000026e,-10.452160835266113,"{""type"":""Point"",""coordinates"":[-48.707639249696854,-25.415984184430815]}"
00000000000000000285,-10.452019691467285,"{""type"":""Point"",""coordinates"":[-48.70753669037263,-25.416167007574007]}"
0000000000000000029d,-10.38953971862793,"{""type"":""Point"",""coordinates"":[-48.70743413104841,-25.416162548472958]}"
00000000000000000255,-10.378833770751953,"{""type"":""Point"",""coordinates"":[-48.70773289081898,-25.416167007574007]}"
000000000000000002d2,-10.366348266601562,"{""type"":""Point"",""coordinates"":[-48.70713537127782,-25.416340912515093]}"
000000000000000002b7,-10.34565258026123,"{""type"":""Point"",""coordinates"":[-48.70733157172417,-25.41643455363722]}"
0000000000000000023e,-10.33484172821045,"{""type"":""Point"",""coordinates"":[-48.70783545014321,-25.41607782555294]}"
0000000000000000022d,-10.333358764648438,"{""type"":""Point"",""coordinates"":[-48.707839909244264,-25.415810279489733]}"
00000000000000000271,-10.333074569702148,"{""type"":""Point"",""coordinates"":[-48.70753223127157,-25.416345371616142]}"
00000000000000000284,-10.308155059814453,"{""type"":""Point"",""coordinates"":[-48.70753669037263,-25.41607336645189]}"
00000000000000000260,-10.298487663269043,"{""type"":""Point"",""coordinates"":[-48.70763924969686,-25.415895002409748]}"
000000000000000001fd,-10.269830703735352,"{""type"":""Point"",""coordinates"":[-48.70803610969062,-25.415903920611854]}"
000000000000000002cf,-10.232929229736328,"{""type"":""Point"",""coordinates"":[-48.707233471500984,-25.41643009453616]}"
00000000000000000246,-10.214103698730469,"{""type"":""Point"",""coordinates"":[-48.70774180902109,-25.41580582038868]}"
000000000000000002ea,-10.205273628234863,"{""type"":""Point"",""coordinates"":[-48.70703281195359,-25.416336453414043]}"
00000000000000000298,-10.177070617675781,"{""type"":""Point"",""coordinates"":[-48.70742967194735,-25.416523735658284]}"
0000000000000000029c,-10.169678688049316,"{""type"":""Point"",""coordinates"":[-48.70743859014945,-25.416073366451887]}"
00000000000000000259,-10.148295402526855,"{""type"":""Point"",""coordinates"":[-48.70763479059581,-25.416256189595078]}"
00000000000000000286,-10.14373779296875,"{""type"":""Point"",""coordinates"":[-48.70753669037263,-25.415984184430815]}"
00000000000000000287,-10.140995979309082,"{""type"":""Point"",""coordinates"":[-48.70753223127157,-25.41643455363722]}"
000000000000000002d0,-10.133978843688965,"{""type"":""Point"",""coordinates"":[-48.707130912176765,-25.41643009453616]}"
00000000000000000225,-10.130379676818848,"{""type"":""Point"",""coordinates"":[-48.707933550366384,-25.416082284653996]}"
000000000000000001fc,-10.121723175048828,"{""type"":""Point"",""coordinates"":[-48.70804056879166,-25.415810279489733]}"
00000000000000000215,-10.11367130279541,"{""type"":""Point"",""coordinates"":[-48.70793800946744,-25.415810279489733]}"
0000000000000000020b,-10.108329772949219,"{""type"":""Point"",""coordinates"":[-48.70803610969061,-25.415993102632925]}"
000000000000000002b0,-10.064348220825195,"{""type"":""Point"",""coordinates"":[-48.70733157172416,-25.416523735658284]}"
0000000000000000023c,-10.03724193572998,"{""type"":""Point"",""coordinates"":[-48.70783545014321,-25.416171466675067]}"
000000000000000002e9,-10.024877548217773,"{""type"":""Point"",""coordinates"":[-48.70703727105465,-25.41624727139297]}"
000000000000000002b5,-9.9956498,"{""type"":""Point"",""coordinates"":[-48.70733603082523,-25.41616254847296]}"
00000000000000000240,-9.9784348,"{""type"":""Point"",""coordinates"":[-48.70773289081899,-25.41626064869613]}"
0000000000000000029e,-9.9677292,"{""type"":""Point"",""coordinates"":[-48.70743859014945,-25.415984184430815]}"
000000000000000002c8,-9.9516246,"{""type"":""Point"",""coordinates"":[-48.70722901239994,-25.41651927655723]}"
000000000000000001e5,-9.9418173,"{""type"":""Point"",""coordinates"":[-48.70813866901484,-25.415903920611854]}"
00000000000000000277,-9.9358393,"{""type"":""Point"",""coordinates"":[-48.707541149473684,-25.415895002409748]}"
00000000000000000258,-9.9125181,"{""type"":""Point"",""coordinates"":[-48.70763033149475,-25.416439012738273]}"
000000000000000002cd,-9.8969265,"{""type"":""Point"",""coordinates"":[-48.707237930602055,-25.416162548472958]}"
00000000000000000299,-9.8957665,"{""type"":""Point"",""coordinates"":[-48.70742521284629,-25.41661291767935]}"
000000000000000001e4,-9.8881337,"{""type"":""Point"",""coordinates"":[-48.70813866901484,-25.415814738590782]}"
00000000000000000241,-9.8220985,"{""type"":""Point"",""coordinates"":[-48.707728431717925,-25.416349830717202]}"
000000000000000002b1,-9.8182063,"{""type"":""Point"",""coordinates"":[-48.707327112623126,-25.41661291767935]}"
0000000000000000025a,-9.7940479,"{""type"":""Point"",""coordinates"":[-48.70763033149475,-25.416345371616142]}"
0000000000000000038d,-9.7890954,"{""type"":""Point"",""coordinates"":[-48.70643083331137,-25.416688722397257]}"
00000000000000000374,-9.78343391418457,"{""type"":""Point"",""coordinates"":[-48.70653339263561,-25.416693181498314]}"
00000000000000000302,-9.7718206,"{""type"":""Point"",""coordinates"":[-48.70693471173041,-25.416336453414043]}"
00000000000000000223,-9.7441299,"{""type"":""Point"",""coordinates"":[-48.707933550366384,-25.416171466675067]}"
00000000000000000332,-9.7412153,"{""type"":""Point"",""coordinates"":[-48.70673405218301,-25.416425635435107]}"
0000000000000000031b,-9.7396857,"{""type"":""Point"",""coordinates"":[-48.70683661150724,-25.416336453414043]}"
0000000000000000023f,-9.7283188,"{""type"":""Point"",""coordinates"":[-48.70772843171793,-25.416439012738266]}"
000000000000000001f3,-9.7266434,"{""type"":""Point"",""coordinates"":[-48.70813420991379,-25.415993102632925]}"
000000000000000002c9,-9.7213006,"{""type"":""Point"",""coordinates"":[-48.70722901239994,-25.41661291767935]}"
0000000000000000020c,-9.7056969,"{""type"":""Point"",""coordinates"":[-48.70803165058956,-25.416082284653992]}"
00000000000000000227,-9.7022033,"{""type"":""Point"",""coordinates"":[-48.70783099104216,-25.41626064869613]}"
0000000000000000035c,-9.697232246398926,"{""type"":""Point"",""coordinates"":[-48.70663595195983,-25.416510358355122]}"
00000000000000000391,-9.6893917,"{""type"":""Point"",""coordinates"":[-48.70643083331137,-25.41677790441833]}"
000000000000000002e8,-9.6815226,"{""type"":""Point"",""coordinates"":[-48.70703281195359,-25.41643009453616]}"
000000000000000002e1,-9.6768503,"{""type"":""Point"",""coordinates"":[-48.707130912176765,-25.416519276557235]}"
000000000000000003ab,-9.6742958,"{""type"":""Point"",""coordinates"":[-48.70632827398715,-25.416867086439403]}"
000000000000000003c2,-9.6631578,"{""type"":""Point"",""coordinates"":[-48.70623017376397,-25.41695626846047]}"
00000000000000000378,-9.6588275,"{""type"":""Point"",""coordinates"":[-48.70652893353455,-25.416782363519385]}"
00000000000000000376,-9.6532487,"{""type"":""Point"",""coordinates"":[-48.706533392635606,-25.416599540376197]}"
0000000000000000025f,-9.6516557,"{""type"":""Point"",""coordinates"":[-48.707639249696854,-25.415805820388684]}"
00000000000000000296,-9.6496249,"{""type"":""Point"",""coordinates"":[-48.70742521284629,-25.416706558801476]}"
000000000000000001b6,-9.6254293,"{""type"":""Point"",""coordinates"":[-48.708339328562246,-25.41572555656972]}"
00000000000000000319,-9.6229367,"{""type"":""Point"",""coordinates"":[-48.706836611507235,-25.416425635435107]}"
00000000000000000198,-9.6225313,"{""type"":""Point"",""coordinates"":[-48.70844188788647,-25.41554719252758]}"
000000000000000003aa,-9.6062728,"{""type"":""Point"",""coordinates"":[-48.7063327330882,-25.416777904418332]}"
00000000000000000343,-9.5920955,"{""type"":""Point"",""coordinates"":[-48.70673405218301,-25.41651481745618]}"
00000000000000000250,-9.555946350097656,"{""type"":""Point"",""coordinates"":[-48.707728431717925,-25.41652819475934]}"
0000000000000000035d,-9.5481122,"{""type"":""Point"",""coordinates"":[-48.706631492858776,-25.416603999477246]}"
00000000000000000248,-9.5427691,"{""type"":""Point"",""coordinates"":[-48.70774180902109,-25.41571663836761]}"
00000000000000000199,-9.5424771,"{""type"":""Point"",""coordinates"":[-48.70844188788648,-25.41563637454865]}"
000000000000000002ae,-9.5369016,"{""type"":""Point"",""coordinates"":[-48.707327112623126,-25.416702099700423]}"
000000000000000003c4,-9.53383731842041,"{""type"":""Point"",""coordinates"":[-48.70623017376397,-25.416867086439403]}"
000000000000000003a9,-9.5306173,"{""type"":""Point"",""coordinates"":[-48.70632827398715,-25.41696072756152]}"
00000000000000000392,-9.5251877,"{""type"":""Point"",""coordinates"":[-48.70643083331137,-25.41687154554045]}"
00000000000000000300,-9.5178002,"{""type"":""Point"",""coordinates"":[-48.70693471173041,-25.416425635435107]}"
000000000000000001b4,-9.5121675,"{""type"":""Point"",""coordinates"":[-48.708334869461204,-25.415814738590782]}"
00000000000000000280,-9.5113281,"{""type"":""Point"",""coordinates"":[-48.70752777217052,-25.41652819475934]}"
0000000000000000035f,-9.4879567,"{""type"":""Point"",""coordinates"":[-48.70662703375773,-25.416782363519385]}"
0000000000000000019d,-9.4805353,"{""type"":""Point"",""coordinates"":[-48.70843742878542,-25.41572555656972]}"
000000000000000001cc,-9.4740134,"{""type"":""Point"",""coordinates"":[-48.70823676923802,-25.415814738590782]}"
0000000000000000032b,-9.4738169,"{""type"":""Point"",""coordinates"":[-48.706832152406186,-25.41651481745618]}"
0000000000000000035b,-9.4633826,"{""type"":""Point"",""coordinates"":[-48.706631492858776,-25.416693181498314]}"
00000000000000000269,-9.4431947,"{""type"":""Point"",""coordinates"":[-48.7076258723937,-25.41652819475934]}"
00000000000000000228,-9.4268256,"{""type"":""Point"",""coordinates"":[-48.70783099104216,-25.416349830717202]}"
00000000000000000344,-9.4216728,"{""type"":""Point"",""coordinates"":[-48.70673405218301,-25.416603999477246]}"
000000000000000003db,-9.4058091,"{""type"":""Point"",""coordinates"":[-48.70612761443974,-25.416956268460467]}"
000000000000000001b1,-9.395581245422363,"{""type"":""Point"",""coordinates"":[-48.70833932856224,-25.41563637454865]}"
00000000000000000379,-9.3926471,"{""type"":""Point"",""coordinates"":[-48.70652893353455,-25.416871545540452]}"
00000000000000000297,-9.3836266,"{""type"":""Point"",""coordinates"":[-48.70742521284629,-25.416795740822543]}"
00000000000000000390,-9.3815092,"{""type"":""Point"",""coordinates"":[-48.70642637421031,-25.41696072756152]}"
0000000000000000020f,-9.3740087,"{""type"":""Point"",""coordinates"":[-48.70792909126533,-25.416260648696127]}"
00000000000000000312,-9.3686803,"{""type"":""Point"",""coordinates"":[-48.70693025262936,-25.41651481745618]}"
0000000000000000022f,-9.3623297,"{""type"":""Point"",""coordinates"":[-48.707839909244264,-25.41571663836761]}"
00000000000000000346,-9.3601756,"{""type"":""Point"",""coordinates"":[-48.70672959308195,-25.416782363519385]}"
0000000000000000019b,-9.3243534,"{""type"":""Point"",""coordinates"":[-48.70843742878542,-25.415819197691842]}"
0000000000000000032c,-9.3165362,"{""type"":""Point"",""coordinates"":[-48.706832152406186,-25.416603999477246]}"
000000000000000002e6,-9.3148723,"{""type"":""Point"",""coordinates"":[-48.70713983037888,-25.416158089371905]}"
000000000000000002af,-9.2998808,"{""type"":""Point"",""coordinates"":[-48.70732265352206,-25.416795740822543]}"
000000000000000001f4,-9.2858501,"{""type"":""Point"",""coordinates"":[-48.70813420991379,-25.416082284653992]}"
00000000000000000180,-9.2826821,"{""type"":""Point"",""coordinates"":[-48.70853998810965,-25.41554719252758]}"
000000000000000001ce,-9.2778859,"{""type"":""Point"",""coordinates"":[-48.70824122833907,-25.41572555656972]}"
00000000000000000342,-9.2725529,"{""type"":""Point"",""coordinates"":[-48.70672959308196,-25.416693181498314]}"
0000000000000000019a,-9.2657183,"{""type"":""Point"",""coordinates"":[-48.70844188788648,-25.41545801050651]}"
000000000000000002f9,-9.2635438,"{""type"":""Point"",""coordinates"":[-48.70703281195359,-25.41651927655723]}"
00000000000000000360,-9.2601066,"{""type"":""Point"",""coordinates"":[-48.70662703375773,-25.41687154554045]}"
00000000000000000377,-9.2489686,"{""type"":""Point"",""coordinates"":[-48.70652447443349,-25.41696072756152]}"
0000000000000000020a,-9.2458577,"{""type"":""Point"",""coordinates"":[-48.70803165058956,-25.416171466675063]}"
000000000000000001fe,-9.2144153,"{""type"":""Point"",""coordinates"":[-48.708040568791674,-25.415721097468662]}"
000000000000000001e6,-9.2103014,"{""type"":""Point"",""coordinates"":[-48.70813866901484,-25.41572555656972]}"
000000000000000002e2,-9.2026544,"{""type"":""Point"",""coordinates"":[-48.707130912176765,-25.416608458578295]}"
00000000000000000313,-9.1982576,"{""type"":""Point"",""coordinates"":[-48.70693025262936,-25.416608458578295]}"
00000000000000000217,-9.1944751,"{""type"":""Point"",""coordinates"":[-48.70794246856849,-25.415721097468662]}"
000000000000000002c6,-9.1840836,"{""type"":""Point"",""coordinates"":[-48.70722901239995,-25.416702099700423]}"
00000000000000000182,-9.1820195,"{""type"":""Point"",""coordinates"":[-48.708544447210706,-25.41545801050651]}"
00000000000000000276,-9.1807353,"{""type"":""Point"",""coordinates"":[-48.707541149473684,-25.415805820388684]}"
00000000000000000329,-9.1674164,"{""type"":""Point"",""coordinates"":[-48.70682769330513,-25.416697640599367]}"
0000000000000000016b,-9.1619223,"{""type"":""Point"",""coordinates"":[-48.70864254743388,-25.41546246960757]}"
00000000000000000181,-9.1485162,"{""type"":""Point"",""coordinates"":[-48.70853998810965,-25.4156408336497]}"
0000000000000000032a,-9.1302829,"{""type"":""Point"",""coordinates"":[-48.70682769330513,-25.416786822620438]}"
000000000000000001b5,-9.124639511108398,"{""type"":""Point"",""coordinates"":[-48.7083348694612,-25.415908379712914]}"
000000000000000001cd,-9.1234257,"{""type"":""Point"",""coordinates"":[-48.70823676923802,-25.415903920611854]}"
00000000000000000347,-9.1109985,"{""type"":""Point"",""coordinates"":[-48.706725133980896,-25.416876004641505]}"
00000000000000000169,-9.1062258,"{""type"":""Point"",""coordinates"":[-48.708638088332826,-25.415551651628633]}"
000000000000000001b0,-9.1049141,"{""type"":""Point"",""coordinates"":[-48.708343787663296,-25.415547192527583]}"
00000000000000000171,-9.1026852,"{""type"":""Point"",""coordinates"":[-48.70864254743388,-25.415368828485438]}"
0000000000000000035e,-9.0959026,"{""type"":""Point"",""coordinates"":[-48.70662703375772,-25.416965186662573]}"
000000000000000002fa,-9.0931211,"{""type"":""Point"",""coordinates"":[-48.70702835285254,-25.416608458578295]}"
0000000000000000028f,-9.0912498,"{""type"":""Point"",""coordinates"":[-48.707443049250514,-25.415895002409748]}"
00000000000000000226,-9.0897534,"{""type"":""Point"",""coordinates"":[-48.707826531941095,-25.41643901273827]}"
0000000000000000019c,-9.0660156,"{""type"":""Point"",""coordinates"":[-48.708432969684374,-25.415908379712914]}"
000000000000000001f6,-9.0639138,"{""type"":""Point"",""coordinates"":[-48.70803165058956,-25.416265107797184]}"
00000000000000000310,-9.0491378,"{""type"":""Point"",""coordinates"":[-48.70693025262936,-25.416697640599367]}"
000000000000000002b4,-9.0020734,"{""type"":""Point"",""coordinates"":[-48.70733603082523,-25.41607336645189]}"
00000000000000000185,-8.9932083,"{""type"":""Point"",""coordinates"":[-48.7085355290086,-25.41573001567077]}"
0000000000000000032e,-8.978458404541016,"{""type"":""Point"",""coordinates"":[-48.70682769330513,-25.416876004641505]}"
00000000000000000301,-8.9526291,"{""type"":""Point"",""coordinates"":[-48.70693917083147,-25.416247271392972]}"
0000000000000000029b,-8.947858810424805,"{""type"":""Point"",""coordinates"":[-48.70742075374524,-25.416884922843618]}"
00000000000000000345,-8.946794509887695,"{""type"":""Point"",""coordinates"":[-48.7067251339809,-25.416965186662576]}"
000000000000000002f7,-8.9226984,"{""type"":""Point"",""coordinates"":[-48.70702835285253,-25.416697640599367]}"
00000000000000000188,-8.9107917,"{""type"":""Point"",""coordinates"":[-48.7085444472107,-25.415368828485438]}"
000000000000000001c9,-8.907525062561035,"{""type"":""Point"",""coordinates"":[-48.70824122833907,-25.41563637454865]}"
00000000000000000315,-8.9053777,"{""type"":""Point"",""coordinates"":[-48.706925793528306,-25.416876004641505]}"
00000000000000000311,-8.8918571,"{""type"":""Point"",""coordinates"":[-48.70692579352831,-25.416786822620438]}"
000000000000000003c3,-8.8911049,"{""type"":""Point"",""coordinates"":[-48.70623017376397,-25.416777904418332]}"
00000000000000000210,-8.8902563,"{""type"":""Point"",""coordinates"":[-48.70792909126533,-25.416349830717202]}"
0000000000000000015b,-8.887125968933105,"{""type"":""Point"",""coordinates"":[-48.70874064765706,-25.41537328758649]}"
000000000000000001db,-8.8699843,"{""type"":""Point"",""coordinates"":[-48.708232310136964,-25.41599756173398]}"
0000000000000000016a,-8.8337275,"{""type"":""Point"",""coordinates"":[-48.708638088332826,-25.415640833649704]}"
00000000000000000183,-8.8248133,"{""type"":""Point"",""coordinates"":[-48.70853552900861,-25.41581919769184]}"
000000000000000001ab,-8.8233607,"{""type"":""Point"",""coordinates"":[-48.708432969684374,-25.415997561733974]}"
000000000000000002df,-8.8175619,"{""type"":""Point"",""coordinates"":[-48.707126453075716,-25.416702099700423]}"
00000000000000000237,-8.8155661,"{""type"":""Point"",""coordinates"":[-48.7078265319411,-25.41653265386039]}"
0000000000000000032d,-8.814253807067871,"{""type"":""Point"",""coordinates"":[-48.70682323420408,-25.416965186662576]}"
000000000000000003dd,-8.8011982,"{""type"":""Point"",""coordinates"":[-48.70613207354079,-25.416867086439403]}"
000000000000000001b3,-8.7962208,"{""type"":""Point"",""coordinates"":[-48.7083437876633,-25.41545355140546]}"
00000000000000000133,-8.7941083,"{""type"":""Point"",""coordinates"":[-48.70894576630552,-25.415194923544355]}"
000000000000000001c3,-8.7889402,"{""type"":""Point"",""coordinates"":[-48.7083348694612,-25.415997561733978]}"
000000000000000001f2,-8.7830351,"{""type"":""Point"",""coordinates"":[-48.708129750812745,-25.416175925776116]}"
00000000000000000155,-8.7787066,"{""type"":""Point"",""coordinates"":[-48.70874064765705,-25.41546246960757]}"
000000000000000002f8,-8.7735785,"{""type"":""Point"",""coordinates"":[-48.70702835285254,-25.41679128172149]}"
00000000000000000148,-8.7557021,"{""type"":""Point"",""coordinates"":[-48.70884766608234,-25.415194923544355]}"
000000000000000002c7,-8.7171214,"{""type"":""Point"",""coordinates"":[-48.707224553298886,-25.41679128172149]}"
000000000000000002fc,-8.7151182,"{""type"":""Point"",""coordinates"":[-48.70702389375148,-25.41688046374256]}"
00000000000000000145,-8.6979999,"{""type"":""Point"",""coordinates"":[-48.708843206981285,-25.41528410556543]}"
000000000000000002b3,-8.6837968,"{""type"":""Point"",""coordinates"":[-48.70732265352206,-25.416884922843618]}"
00000000000000000314,-8.6817135,"{""type"":""Point"",""coordinates"":[-48.70692579352831,-25.416969645763633]}"
000000000000000002cc,-8.6796564,"{""type"":""Point"",""coordinates"":[-48.707237930602055,-25.416068907350834]}"
000000000000000001e1,-8.6745476,"{""type"":""Point"",""coordinates"":[-48.70814312811591,-25.415631915447594]}"
000000000000000002e0,-8.668441772460938,"{""type"":""Point"",""coordinates"":[-48.70712645307571,-25.41679128172149]}"
000000000000000001dc,-8.6483283,"{""type"":""Point"",""coordinates"":[-48.708232310136964,-25.416086743755045]}"
0000000000000000015a,-8.6458164,"{""type"":""Point"",""coordinates"":[-48.7087451067581,-25.41527964646437]}"
00000000000000000261,-8.640974044799805,"{""type"":""Point"",""coordinates"":[-48.70764370879791,-25.41571663836761]}"
00000000000000000281,-8.6132771,"{""type"":""Point"",""coordinates"":[-48.70752777217052,-25.416617376780408]}"
00000000000000000130,-8.6110603,"{""type"":""Point"",""coordinates"":[-48.70894130720447,-25.41528410556543]}"
0000000000000000011f,-8.6092075,"{""type"":""Point"",""coordinates"":[-48.70904386652869,-25.415194923544355]}"
00000000000000000146,-8.6091953,"{""type"":""Point"",""coordinates"":[-48.708843206981285,-25.41537328758649]}"
00000000000000000184,-8.5611042,"{""type"":""Point"",""coordinates"":[-48.7085355290086,-25.415908379712914]}"
00000000000000000153,-8.5605332,"{""type"":""Point"",""coordinates"":[-48.70874064765706,-25.415551651628633]}"
000000000000000001ac,-8.5556057,"{""type"":""Point"",""coordinates"":[-48.708432969684374,-25.416086743755045]}"
000000000000000001c8,-8.5539227,"{""type"":""Point"",""coordinates"":[-48.70824122833907,-25.41554273342653]}"
00000000000000000375,-8.5515856,"{""type"":""Point"",""coordinates"":[-48.706533392635606,-25.416510358355126]}"
000000000000000002fb,-8.5491729,"{""type"":""Point"",""coordinates"":[-48.70702389375148,-25.41696964576363]}"
000000000000000001c4,-8.5353182,"{""type"":""Point"",""coordinates"":[-48.70833041036014,-25.41608674375504]}"
0000000000000000016e,-8.5281379,"{""type"":""Point"",""coordinates"":[-48.708638088332826,-25.41573001567077]}"
000000000000000003f4,-8.5274271,"{""type"":""Point"",""coordinates"":[-48.70602951421656,-25.416956268460467]}"
00000000000000000141,-8.5015373,"{""type"":""Point"",""coordinates"":[-48.708838747880236,-25.41546246960757]}"
000000000000000002e4,-8.4980193,"{""type"":""Point"",""coordinates"":[-48.70712199397465,-25.41688046374256]}"
0000000000000000026a,-8.4852397,"{""type"":""Point"",""coordinates"":[-48.7076258723937,-25.416617376780408]}"
000000000000000001f9,-8.4785923,"{""type"":""Point"",""coordinates"":[-48.70804056879167,-25.415631915447594]}"
000000000000000003a6,-8.4767284,"{""type"":""Point"",""coordinates"":[-48.706332733088196,-25.41668872239726]}"
0000000000000000027f,-8.4605993,"{""type"":""Point"",""coordinates"":[-48.707523313069466,-25.416795740822547]}"
000000000000000001f7,-8.4543357,"{""type"":""Point"",""coordinates"":[-48.708027191488505,-25.416354289818255]}"
00000000000000000170,-8.4370199,"{""type"":""Point"",""coordinates"":[-48.70864700653494,-25.41527964646437]}"
0000000000000000015d,-8.4362957,"{""type"":""Point"",""coordinates"":[-48.7087451067581,-25.415190464443302]}"
00000000000000000283,-8.4319932,"{""type"":""Point"",""coordinates"":[-48.70752331306946,-25.416884922843618]}"
0000000000000000011e,-8.4284322,"{""type"":""Point"",""coordinates"":[-48.70904386652869,-25.415105741523288]}"
0000000000000000011c,-8.4225572,"{""type"":""Point"",""coordinates"":[-48.70904386652869,-25.41528410556543]}"
00000000000000000154,-8.4097058,"{""type"":""Point"",""coordinates"":[-48.708736188556,-25.415640833649704]}"
00000000000000000131,-8.4062941,"{""type"":""Point"",""coordinates"":[-48.70894130720446,-25.41537328758649]}"
000000000000000002e3,-8.4000648,"{""type"":""Point"",""coordinates"":[-48.70712199397466,-25.416969645763633]}"
000000000000000001da,-8.3950071,"{""type"":""Point"",""coordinates"":[-48.708232310136964,-25.416175925776116]}"
000000000000000002cb,-8.3928828,"{""type"":""Point"",""coordinates"":[-48.70722455329888,-25.41688046374256]}"
