system:index,OWT_Pahlevan2021,acdom440,chla_ugL,date,depth_m,dic_mgL,doc_mgL,dtc_mgL,lake_name,lat,long,pheophytin_ugL,phycocianin_ugL,responsible,secchi_m,state,station_name,time_GMT,tsi_mgL,tso_mgL,tss_mgL,turbidity_NTU,﻿BR_ID,.geo
00000000000000000001,7,"1,44","2,95",02/09/2022,"2,70",NA,NA,NA,Antonina Bay,"-25,41","-48,71",NA,NA,MauricioNoenberg_UFSC,"0,80",PR,Antonina_02_2022_Z1QV,20:09:00,"9,55","3,70","13,25","10,31",BR_ID_30,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,7,"1,56",NA,02/09/2022,"1,20",NA,NA,NA,Antonina Bay,"-25,42","-48,69",NA,NA,MauricioNoenberg_UFSC,"1,00",PR,Antonina_02_2022_Z2QV,19:32:00,"19,29","5,83","25,12","9,47",BR_ID_32,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,4,"0,91","9,04",02/09/2022,"2,70",NA,NA,NA,Antonina Bay,"-25,44","-48,69",NA,NA,MauricioNoenberg_UFSC,"1,40",PR,Antonina_02_2022_Z3QV,18:51:00,NA,NA,NA,"5,00",BR_ID_34,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,4,"1,08","3,88",02/09/2022,"3,90",NA,NA,NA,Antonina Bay,"-25,46","-48,66",NA,NA,MauricioNoenberg_UFSC,"2,00",PR,Antonina_02_2022_Z4QV,17:58:00,NA,NA,NA,"2,44",BR_ID_36,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,4,"1,38","4,61",02/09/2022,"3,30",NA,NA,NA,Antonina Bay,"-25,49","-48,66",NA,NA,MauricioNoenberg_UFSC,"1,60",PR,Antonina_02_2022_Z5QV,17:00:00,NA,NA,NA,"2,72",BR_ID_38,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,4,"0,94","4,43",02/09/2022,"6,20",NA,NA,NA,Antonina Bay,"-25,47","-48,64",NA,NA,MauricioNoenberg_UFSC,"2,20",PR,Antonina_02_2022_Z6QV,16:00:00,NA,NA,NA,"2,33",BR_ID_40,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,4,"0,37","9,41",02/14/2022,"4,30",NA,NA,NA,Antonina Bay,"-25,41","-48,71",NA,NA,MauricioNoenberg_UFSC,"1,80",PR,Antonina_02_2022_Z1SV,19:05:00,"2,87","1,79","4,66","2,04",BR_ID_31,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,4,"0,34","7,75",02/14/2022,"5,70",NA,NA,NA,Antonina Bay,"-25,42","-48,69",NA,NA,MauricioNoenberg_UFSC,"1,60",PR,Antonina_02_2022_Z2SV,18:23:00,"1,67","1,53","3,19","2,40",BR_ID_33,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,4,"0,46","6,64",02/14/2022,"5,30",NA,NA,NA,Antonina Bay,"-25,44","-48,69",NA,NA,MauricioNoenberg_UFSC,"1,60",PR,Antonina_02_2022_Z3SV,17:33:00,"2,30","1,73","4,03","2,51",BR_ID_35,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,4,"0,31","6,64",02/14/2022,"4,20",NA,NA,NA,Antonina Bay,"-25,46","-48,66",NA,NA,MauricioNoenberg_UFSC,"2,00",PR,Antonina_02_2022_Z4SV,16:53:00,"2,97","2,19","5,16","2,57",BR_ID_37,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,4,"0,34","11,63",02/14/2022,"3,00",NA,NA,NA,Antonina Bay,"-25,49","-48,66",NA,NA,MauricioNoenberg_UFSC,"1,80",PR,Antonina_02_2022_Z5SV,16:17:00,"2,87","2,16","5,03","3,74",BR_ID_39,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,2,"0,41","5,35",02/14/2022,"5,30",NA,NA,NA,Antonina Bay,"-25,47","-48,64",NA,NA,MauricioNoenberg_UFSC,"2,20",PR,Antonina_02_2022_Z6SV,15:33:00,"2,90","0,93","3,83","2,75",BR_ID_41,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,2,"0,73",NA,07/18/2024,"10,40",NA,NA,NA,Antonina Bay,"-25,48","-48,64",NA,NA,MauricioNoenberg_UFSC,"1,20",PR,Antonina_07_2024_VT19,18:38:00,NA,NA,"4,57","4,51",BR_ID_42,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,4,NA,NA,07/18/2024,"8,60",NA,NA,NA,Antonina Bay,"-25,47","-48,64",NA,NA,MauricioNoenberg_UFSC,"1,40",PR,Antonina_07_2024_VT20_1,18:19:00,NA,NA,"4,57","4,51",BR_ID_43,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,4,"0,64",NA,07/18/2024,"8,20",NA,NA,NA,Antonina Bay,"-25,47","-48,64",NA,NA,MauricioNoenberg_UFSC,"1,00",PR,Antonina_07_2024_VT20_2,19:52:00,NA,NA,"15,03","12,47",BR_ID_44,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,4,"0,73",NA,07/18/2024,"4,20",NA,NA,NA,Antonina Bay,"-25,49","-48,66",NA,NA,MauricioNoenberg_UFSC,"1,00",PR,Antonina_07_2024_VT21,18:50:00,NA,NA,"6,18","5,84",BR_ID_45,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,4,"0,94",NA,07/18/2024,"4,60",NA,NA,NA,Antonina Bay,"-25,45","-48,67",NA,NA,MauricioNoenberg_UFSC,"1,00",PR,Antonina_07_2024_VT24,19:09:00,NA,NA,"5,71","5,46",BR_ID_48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,4,"1,17",NA,07/18/2024,"4,30",NA,NA,NA,Antonina Bay,"-25,43","-48,69",NA,NA,MauricioNoenberg_UFSC,"1,00",PR,Antonina_07_2024_VT26,19:27:00,NA,NA,"9,13","8,14",BR_ID_50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,4,"0,42",NA,07/23/2024,"2,50",NA,NA,NA,Antonina Bay,"-25,46","-48,66",NA,NA,MauricioNoenberg_UFSC,"1,00",PR,Antonina_07_2024_VT22,18:32:00,NA,NA,"9,64","8,54",BR_ID_46,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,4,"0,55",NA,07/23/2024,"1,50",NA,NA,NA,Antonina Bay,"-25,47","-48,67",NA,NA,MauricioNoenberg_UFSC,"0,85",PR,Antonina_07_2024_VT23,18:50:00,NA,NA,"12,34","10,55",BR_ID_47,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,4,NA,NA,07/23/2024,"2,90",NA,NA,NA,Antonina Bay,"-25,44","-48,68",NA,NA,MauricioNoenberg_UFSC,"0,65",PR,Antonina_07_2024_VT25,19:10:00,NA,NA,"19,83","15,83",BR_ID_49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,4,"0,81",NA,07/23/2024,"1,90",NA,NA,NA,Antonina Bay,"-25,42","-48,70",NA,NA,MauricioNoenberg_UFSC,"0,65",PR,Antonina_07_2024_VT27,19:37:00,NA,NA,"23,45","18,26",BR_ID_51,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,4,"0,68",NA,07/23/2024,"2,90",NA,NA,NA,Antonina Bay,"-25,41","-48,71",NA,NA,MauricioNoenberg_UFSC,"1,35",PR,Antonina_07_2024_VT28,19:53:00,NA,NA,"6,86","6,39",BR_ID_52,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,4,"0,66",NA,07/23/2024,"3,00",NA,NA,NA,Antonina Bay,"-25,43","-48,70",NA,NA,MauricioNoenberg_UFSC,"0,95",PR,Antonina_07_2024_VT29,20:11:00,NA,NA,"11,36","9,83",BR_ID_53,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,4,"0,55",NA,07/23/2024,"4,60",NA,NA,NA,Antonina Bay,"-25,44","-48,70",NA,NA,MauricioNoenberg_UFSC,"0,80",PR,Antonina_07_2024_VT30,20:25:00,NA,NA,"10,72","9,35",BR_ID_54,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,4,"0,87","8,97",09/20/2022,"5,10",NA,NA,NA,Antonina Bay,"-25,47","-48,64",NA,NA,MauricioNoenberg_UFSC,"1,80",PR,Antonina_09_2022_Z6QI,15:11:00,NA,NA,NA,"3,01",BR_ID_63,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,4,"0,92","6,20",09/22/2022,"6,60",NA,NA,NA,Antonina Bay,"-25,41","-48,71",NA,NA,MauricioNoenberg_UFSC,"1,20",PR,Antonina_09_2022_Z1QI,15:32:00,"4,68","1,25","5,93","7,02",BR_ID_55,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,4,"1,87","6,31",09/22/2022,"5,10",NA,NA,NA,Antonina Bay,"-25,42","-48,69",NA,NA,MauricioNoenberg_UFSC,"1,40",PR,Antonina_09_2022_Z2QI,16:38:00,"2,32","1,13","3,45","13,58",BR_ID_57,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,4,"0,60","6,31",09/22/2022,"5,40",NA,NA,NA,Antonina Bay,"-25,44","-48,69",NA,NA,MauricioNoenberg_UFSC,"2,00",PR,Antonina_09_2022_Z3QI,17:12:00,"2,74","1,49","4,23","2,85",BR_ID_58,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,2,"0,86","6,64",09/22/2022,"4,60",NA,NA,NA,Antonina Bay,"-25,46","-48,66",NA,NA,MauricioNoenberg_UFSC,"2,60",PR,Antonina_09_2022_Z4QI,16:57:00,"1,22","0,87","2,09","1,23",BR_ID_60,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,2,"1,14","6,76",09/22/2022,"3,70",NA,NA,NA,Antonina Bay,"-25,49","-48,66",NA,NA,MauricioNoenberg_UFSC,"2,00",PR,Antonina_09_2022_Z5QI,18:30:00,"1,86","1,17","3,03","2,67",BR_ID_61,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,7,"1,29","3,99",09/27/2022,"4,90",NA,NA,NA,Antonina Bay,"-25,41","-48,71",NA,NA,MauricioNoenberg_UFSC,"0,30",PR,Antonina_09_2022_Z1SI,15:55:00,"23,29","4,59","27,87","21,15",BR_ID_56,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,4,"0,93","5,09",09/27/2022,"3,00",NA,NA,NA,Antonina Bay,"-25,44","-48,69",NA,NA,MauricioNoenberg_UFSC,"1,00",PR,Antonina_09_2022_Z3SI,16:34:00,"15,97","3,09","19,05","17,40",BR_ID_59,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,7,"1,19","5,98",09/27/2022,"2,30",NA,NA,NA,Antonina Bay,"-25,49","-48,66",NA,NA,MauricioNoenberg_UFSC,"0,50",PR,Antonina_09_2022_Z5SI,17:16:00,"48,64","8,61","57,26","61,01",BR_ID_62,"{""type"":""MultiPoint"",""coordinates"":[]}"
