system:index,Lat,Long,Z,.geo
00000000000000000f83,-25.637,-48.425,-9.6007466,"{""type"":""Point"",""coordinates"":[-48.42538707121584,-25.636972773538545]}"
00000000000000000f85,-25.637,-48.423,-9.6581577,"{""type"":""Point"",""coordinates"":[-48.422863220019586,-25.636972773538545]}"
00000000000000000f88,-25.637,-48.415,-9.8322814,"{""type"":""Point"",""coordinates"":[-48.41528274822874,-25.636972773538545]}"
00000000000000000f89,-25.637,-48.413,-9.8875363,"{""type"":""Point"",""coordinates"":[-48.41275443793143,-25.636972773538545]}"
00000000000000000f8a,-25.637,-48.42,-9.7164611,"{""type"":""Point"",""coordinates"":[-48.420334909722285,-25.636972773538545]}"
00000000000000000f8b,-25.637,-48.418,-9.7748973,"{""type"":""Point"",""coordinates"":[-48.417806599424985,-25.636972773538545]}"
00000000000000000f8c,-25.637,-48.405,-10.015563,"{""type"":""Point"",""coordinates"":[-48.40517396614058,-25.636972773538545]}"
00000000000000000f8d,-25.637,-48.403,-10.253106,"{""type"":""Point"",""coordinates"":[-48.40265011494433,-25.636972773538545]}"
00000000000000000f8e,-25.637,-48.41,-9.9430196,"{""type"":""Point"",""coordinates"":[-48.41023058673518,-25.636972773538545]}"
00000000000000000f8f,-25.637,-48.408,-10.008139,"{""type"":""Point"",""coordinates"":[-48.407702276437874,-25.636972773538545]}"
00000000000000000f90,-25.637,-48.355,-13.775996,"{""type"":""Point"",""coordinates"":[-48.35464343300292,-25.63697277353855]}"
00000000000000000f91,-25.637,-48.352,-14.117588,"{""type"":""Point"",""coordinates"":[-48.35211512270562,-25.636972773538545]}"
00000000000000000f93,-25.637,-48.36,-12.608235,"{""type"":""Point"",""coordinates"":[-48.35969559449647,-25.636972773538545]}"
00000000000000000f94,-25.637,-48.357,-13.22412,"{""type"":""Point"",""coordinates"":[-48.357167284199164,-25.636972773538545]}"
00000000000000000f95,-25.637,-48.345,-13.880845,"{""type"":""Point"",""coordinates"":[-48.34453465091476,-25.636972773538545]}"
00000000000000000f96,-25.637,-48.342,-13.530778,"{""type"":""Point"",""coordinates"":[-48.34201079971851,-25.636972773538545]}"
00000000000000000f97,-25.637,-48.35,-14.066902,"{""type"":""Point"",""coordinates"":[-48.34958681240831,-25.636972773538545]}"
00000000000000000f98,-25.637,-48.347,-13.659187,"{""type"":""Point"",""coordinates"":[-48.34706296121206,-25.63697277353855]}"
00000000000000000f99,-25.637,-48.334,-13.110208,"{""type"":""Point"",""coordinates"":[-48.33443032792765,-25.636972773538545]}"
00000000000000000f9a,-25.637,-48.332,-13.261831,"{""type"":""Point"",""coordinates"":[-48.33190201763035,-25.636972773538545]}"
00000000000000000f9b,-25.637,-48.339,-13.893132,"{""type"":""Point"",""coordinates"":[-48.3394824894212,-25.63697277353855]}"
